@relation allvids*allfeats
@attribute letterfcount NUMERIC
@attribute digitfcount NUMERIC
@attribute spcharfcount NUMERIC
@attribute scenecount NUMERIC
@attribute openinglen NUMERIC
@attribute endinglen NUMERIC
@attribute stimgcount NUMERIC
@attribute isCG NUMERIC
@attribute moneyfcount NUMERIC
@attribute framewidth NUMERIC
@attribute frameheigth NUMERIC
@attribute framepersec NUMERIC
@attribute duration NUMERIC
@attribute framecount NUMERIC
@attribute blackcount NUMERIC
@attribute whitecount NUMERIC
@attribute grayscount NUMERIC
@attribute facecount NUMERIC
@attribute faceavelocx NUMERIC
@attribute faceavelocy NUMERIC
@attribute facesumarea NUMERIC
@data
5,0,1,1,1,2,1,0,0,640.0,360.0,30.0,163.0,4890.0,5,0,68,97,306,140,885660
1,1,1,1,1,0,0,0,1,560.0,314.0,30.0,183.0,5490.0,3,0,40,241,228,66,756967
3,2,1,1,1,3,0,0,0,640.0,360.0,30.0,145.0,4350.0,0,0,138,109,323,73,597114
0,0,0,2,1,0,5,2,0,640.0,480.0,30.0,126.0,3780.0,1,0,42,74,343,114,243369
5,1,1,2,1,1,0,2,0,640.0,360.0,30.0,96.0,2880.0,2,0,54,14,290,212,138887
2,0,0,2,1,2,4,0,0,560.0,374.0,30.0,185.0,5550.0,3,0,89,91,269,132,1207498
16,1,0,3,1,0,15,2,0,640.0,360.0,30.0,310.0,9300.0,3,0,59,110,272,236,850738
12,0,1,1,1,1,0,1,0,640.0,360.0,20.0,140.0,2800.0,2,0,11,3,241,200,12605
1,0,0,2,0,0,1,0,0,640.0,360.0,30.0,82.0,2460.0,0,0,0,61,323,127,233948
3,2,1,5,1,1,0,2,1,560.0,374.0,20.0,443.0,8860.0,3,0,378,406,265,140,7611649
4,0,0,1,1,1,6,0,0,640.0,360.0,20.0,128.0,2560.0,4,0,62,1,390,67,4096
12,0,0,1,1,1,7,0,0,640.0,360.0,30.0,202.0,6060.0,1,0,113,11,276,160,18543
4,0,0,1,0,0,0,0,0,640.0,480.0,30.0,37.0,1110.0,0,0,37,24,343,203,274595
1,0,0,2,1,1,1,0,0,640.0,360.0,20.0,125.0,2500.0,9,0,36,73,245,114,1063958
2,2,0,1,1,0,2,1,0,640.0,426.0,30.0,28.0,840.0,3,0,27,1,579,46,2304
5,0,0,2,1,1,0,2,0,640.0,360.0,20.0,123.0,2460.0,16,0,44,44,416,128,912643
2,0,0,2,0,0,0,0,0,560.0,420.0,30.0,298.0,8940.0,0,0,146,238,281,148,2047607
4,1,1,1,1,0,0,2,0,640.0,480.0,30.0,117.0,3510.0,1,0,29,27,310,175,1375693
4,1,0,1,1,0,4,0,0,640.0,360.0,20.0,41.0,820.0,0,0,45,0,-1,-1,0
11,1,10,5,1,1,0,0,0,560.0,314.0,30.0,324.0,9720.0,3,5,217,2,313,111,52688
7,1,7,2,1,1,0,0,0,640.0,360.0,30.0,125.0,3750.0,2,0,126,1,467,157,24025
2,0,0,1,1,0,0,1,0,640.0,352.0,30.0,78.0,2340.0,4,0,38,14,318,141,98286
2,0,0,2,1,0,0,2,0,640.0,360.0,30.0,183.0,5490.0,2,0,74,59,267,125,1185461
8,0,2,9,1,1,0,2,0,560.0,314.0,30.0,258.0,7740.0,1,1,90,133,267,144,3234243
13,12,10,1,2,2,2,1,0,560.0,314.0,20.0,110.0,2200.0,0,0,0,0,-1,-1,0
6,3,2,1,1,1,0,1,1,560.0,420.0,30.0,75.0,2250.0,1,0,35,5,349,191,50747
3,1,1,1,0,0,1,0,0,640.0,470.0,30.0,43.0,1290.0,0,0,8,2,346,66,10517
21,14,1,2,1,0,0,0,12,560.0,374.0,20.0,178.0,3560.0,11,0,75,25,279,187,247047
1,0,0,2,1,0,7,0,0,560.0,314.0,30.0,97.0,2910.0,3,0,51,1,502,251,2209
10,5,1,1,1,0,0,0,0,560.0,314.0,20.0,157.0,3140.0,2,0,116,4,265,91,9823
4,1,2,1,1,3,3,0,0,560.0,420.0,30.0,96.0,2880.0,5,0,84,16,293,165,143009
0,0,0,1,1,0,0,1,0,640.0,360.0,30.0,21.0,630.0,1,0,18,1,202,174,3249
3,0,0,2,1,1,0,2,0,640.0,360.0,30.0,218.0,6540.0,6,0,117,37,408,158,1433736
4,2,0,4,1,1,1,2,0,640.0,360.0,20.0,242.0,4840.0,2,0,76,91,340,106,1590888
1,0,0,3,1,0,0,2,0,640.0,360.0,30.0,222.0,6660.0,5,0,59,72,462,163,2001246
7,2,0,2,1,0,16,0,0,640.0,426.0,30.0,551.0,16530.0,2,0,195,336,310,150,12484205
0,0,0,1,1,0,0,1,0,560.0,420.0,30.0,129.0,3870.0,2,0,39,0,-1,-1,0
8,0,0,3,2,0,1,2,0,640.0,360.0,30.0,318.0,9540.0,2,3,45,93,280,107,1976174
3,1,0,1,1,1,4,0,0,560.0,314.0,30.0,95.0,2850.0,2,0,65,7,289,130,9096
8,7,3,1,2,0,0,1,0,640.0,360.0,30.0,102.0,3060.0,0,0,0,1,581,92,2809
3,4,0,4,1,2,4,0,0,640.0,480.0,30.0,160.0,4800.0,12,0,95,33,306,168,486269
3,0,1,1,0,1,0,0,1,640.0,480.0,30.0,153.0,4590.0,1,0,21,68,324,153,460455
0,0,0,1,0,0,0,1,0,640.0,360.0,30.0,505.0,15150.0,0,0,0,1,352,225,676
1,0,0,1,1,0,0,0,0,560.0,314.0,30.0,293.0,8790.0,0,0,146,190,255,72,761303
6,4,0,1,0,3,1,0,0,560.0,420.0,30.0,82.0,2460.0,3,0,57,42,254,354,95389
6,0,0,2,1,2,7,1,0,640.0,360.0,30.0,465.0,13950.0,1,0,259,28,326,142,141193
3,1,0,1,1,1,16,0,0,640.0,360.0,30.0,382.0,11460.0,9,2,284,27,359,135,52174
3,2,0,1,2,0,2,1,0,640.0,480.0,30.0,227.0,6810.0,4,0,70,27,300,230,92946
1,0,0,1,1,1,2,0,0,640.0,480.0,30.0,70.0,2100.0,5,0,62,0,-1,-1,0
4,1,0,6,2,1,2,0,,640.0,358.0,30.0,115.0,3450.0,2,0,67,50,348,116,630332
